trace_id,user_requirement_ids,capability_id,research_question_ids,evidence_ids,pain_point_or_finding_ids,requirement_id,acceptance_test,coverage_status,notes
TR-001,USR-001,CAP-SFC-ENGINE,RQ-001,EVD-SFC-001;EVD-SFC-002,PP-002,FR-SFC-001,Assert sum of all sectoral net financial assets equals zero within numerical tolerance,FULL,Traces core multi-sector balance sheet conservation
TR-002,USR-001,CAP-SFC-ENGINE,RQ-011,EVD-SFC-003,PP-005,FR-SFC-002,Measure execution time of 100 consecutive engine ticks using performance.now(),FULL,Traces sub-16ms numerical update loop
TR-003,USR-001,CAP-CENTRAL-BANK,RQ-002,EVD-CB-001;EVD-CB-002,PP-001,FR-CB-001,Verify computed policy rate matches closed-form Taylor formula across inflation scenarios,FULL,Traces empirical Taylor rule monetary policy reaction function
TR-004,USR-001,CAP-COMMERCIAL-BANKS,RQ-003,EVD-BNK-001;EVD-BNK-002,PP-002,FR-BNK-001,Verify loan creation increases both bank assets and deposits by identical amounts,FULL,Traces endogenous fractional reserve money creation
TR-005,USR-001,CAP-CORPORATE-FINANCE,RQ-004,EVD-CORP-001;EVD-CORP-002,PP-003,FR-CORP-001,Compare computed enterprise value with DCF discount formula across multiple discount rates,FULL,Traces corporate valuation and DCF interest rate discounting
TR-006,USR-001,CAP-HOUSEHOLDS,RQ-005,EVD-HH-001;EVD-HH-002,PP-001,FR-HH-001,Verify consumption changes proportionally to disposable income based on marginal propensity,FULL,Traces household consumption and wealth dynamics
TR-007,USR-001,CAP-GOVERNMENT-FISCAL,RQ-006,EVD-GOV-001;EVD-GOV-002,PP-002,FR-GOV-001,Verify deficit equals outlays plus interest minus tax revenues,FULL,Traces fiscal budget accounting and Treasury debt issuance
TR-008,USR-001,CAP-FINANCIAL-MARKETS,RQ-007,EVD-MKT-001,PP-001,FR-MKT-001,Validate 10Y bond repricing against analytical bond price formula when yield shifts from 4% to 5%,FULL,Traces bond convexity duration and term structure
TR-009,USR-001,CAP-FINANCIAL-MARKETS,RQ-007,EVD-MKT-002,PP-003,FR-MKT-002,Submit test buy and sell orders and verify clearing price matches theoretical auction midpoint,FULL,Traces continuous order book matching and market depth
TR-010,USR-001;USR-002,CAP-INTERACTIVE-CONTROLS,RQ-008,EVD-CTL-001,PP-005,FR-CTL-001,Simulate input change event on policy rate slider and measure DOM update time,FULL,Traces real-time reactive slider interaction without page reloads
TR-011,USR-001;USR-002,CAP-INTERACTIVE-CONTROLS,RQ-008;RQ-012,EVD-CTL-002;EVD-CTL-003,PP-005,FR-CTL-002,Select each preset scenario and verify initial interest rate credit spread and reserve parameters match specification,FULL,Traces historical crisis scenario configuration
TR-012,USR-001;USR-002,CAP-TELEMETRY-VISUALIZATION,RQ-009,EVD-VIS-001;EVD-VIS-002,PP-004,FR-VIS-001,Inspect rendered SVG elements and verify stroke-dashoffset or motion-path attributes update dynamically,FULL,Traces flowing multi-sector SVG conduits and particle velocity
TR-013,USR-003;USR-004,CAP-TELEMETRY-VISUALIZATION,RQ-009,EVD-VIS-002,PP-004,FR-VIS-002,Scan all computed CSS color properties in rendered DOM to ensure zero chromatic saturation,FULL,Traces pure Swiss monochrome broadsheet design system
TR-014,USR-003,CAP-ACCESSIBILITY-COMPLIANCE,RQ-010,EVD-A11Y-001,PP-004,FR-A11Y-001,Measure color contrast between slider tracks thumbs borders and backgrounds,FULL,Traces WCAG 2.2 AA non-text contrast compliance
TR-015,USR-002,CAP-ACCESSIBILITY-COMPLIANCE,RQ-010,EVD-A11Y-002,PP-001,FR-A11Y-002,Send ArrowUp and ArrowDown keyboard events and verify value updates and aria-valuenow reflects change,FULL,Traces full keyboard navigability and ARIA accessibility
