requirement_id,capability_id,requirement_type,requirement_statement,actors,preconditions,expected_behavior,failure_behavior,data_and_state,dependencies,rationale,evidence_ids,acceptance_test,verification_method,metric,target,confidence,status
FR-SFC-001,CAP-SFC-ENGINE,FUNCTIONAL,The simulation engine shall calculate multi-sector balance sheets across Central Bank Commercial Banks Corporate Households Government and Financial Markets where the sum of net financial assets across all sectors equals zero,Learner; Simulation Engine,Simulation initialized,Balance sheet matrix maintains exact conservation where sum of net financial assets is zero,Clamps diverging values and flags accounting imbalance in telemetry,Sector balance sheets,CAP-SFC-ENGINE,Ensures mathematical integrity and prevents money leakage,EVD-SFC-001;EVD-SFC-002,Assert sum of all sectoral net financial assets equals zero within numerical tolerance,Automated unit test,balance sheet net discrepancy delta,<= 1e-6 currency units,HIGH,EVIDENCE_BACKED
FR-SFC-002,CAP-SFC-ENGINE,PERFORMANCE,When the simulation clock advances one tick the simulation engine shall compute all inter-sector cash flows and update sectoral stock accumulations within 16 milliseconds,Learner; Simulation Engine,Clock tick event fired,All recursive differential equations update within one animation frame,Skips frame render without dropping state update,Simulation tick counter and state vectors,CAP-SFC-ENGINE,Maintains smooth 60fps simulation experience,EVD-SFC-003,Measure execution time of 100 consecutive engine ticks using performance.now(),Automated benchmark test,simulation tick computation latency,<= 16 ms,HIGH,EVIDENCE_BACKED
FR-CB-001,CAP-CENTRAL-BANK,FUNCTIONAL,The central bank module shall adjust the policy interest rate in response to simulated inflation gaps and output gaps using an empirical Taylor rule reaction function,Central Bank Controller; Learner,Taylor rule mode enabled,Policy rate shifts deterministically based on inflation and output deviations,Limits rate to non-negative or specified floor,Policy interest rate inflation rate output gap,CAP-CENTRAL-BANK,Reflects actual modern central bank monetary policy behavior,EVD-CB-001;EVD-CB-002,Verify computed policy rate matches closed-form Taylor formula across inflation scenarios,Automated unit test,Taylor rule policy rate computation accuracy,100% adherence to specified Taylor formula,HIGH,EVIDENCE_BACKED
FR-BNK-001,CAP-COMMERCIAL-BANKS,FUNCTIONAL,The commercial banking module shall create new deposit liabilities simultaneously with the creation of new loan assets when credit is extended to corporations or households,Commercial Bank; Borrower,Credit demand exceeds lending threshold,Bank balance sheet expands equally on asset side and liability side,Rejects loan origination if bank capital adequacy is violated,Bank reserves commercial loans customer deposits,CAP-COMMERCIAL-BANKS,Accurately models endogenous money creation,EVD-BNK-001;EVD-BNK-002,Verify loan creation increases both bank assets and deposits by identical amounts,Automated unit test,endogenous balance sheet expansion parity,Delta Loans == Delta Deposits at origination,HIGH,EVIDENCE_BACKED
FR-CORP-001,CAP-CORPORATE-FINANCE,FUNCTIONAL,The corporate finance module shall calculate the discounted cash flow enterprise value and equity value of non-financial corporations using the dynamic weighted average cost of capital,Equity Analyst; Learner,Corporate revenue and cost state available,Enterprise value updates dynamically when cost of debt or equity changes,Falls back to baseline valuation if cash flows become non-computable,Corporate cash flows WACC enterprise value equity value,CAP-CORPORATE-FINANCE,Demonstrates direct transmission of interest rates into company valuation,EVD-CORP-001;EVD-CORP-002,Compare computed enterprise value with DCF discount formula across multiple discount rates,Automated unit test,DCF calculation precision,<= 0.01 valuation currency units,HIGH,EVIDENCE_BACKED
FR-HH-001,CAP-HOUSEHOLDS,FUNCTIONAL,The household sector module shall determine aggregate consumption expenditures as a function of disposable labor income net asset wealth and debt service obligations,Household Consumer; Learner,Labor income and debt service parameters loaded,Consumption updates continuously with wealth and disposable income shifts,Prevents consumption from exceeding available liquid savings plus debt limits,Household income consumption savings debt service,CAP-HOUSEHOLDS,Models the primary real economy demand engine,EVD-HH-001;EVD-HH-002,Verify consumption changes proportionally to disposable income based on marginal propensity,Automated unit test,consumption expenditure formula consistency,100% adherence to marginal propensity specification,HIGH,EVIDENCE_BACKED
FR-GOV-001,CAP-GOVERNMENT-FISCAL,FUNCTIONAL,The fiscal policy module shall compute sovereign tax revenues government expenditures budget balances and Treasury bond issuances at each simulation period,Fiscal Policymaker; Learner,Tax rate and spending parameters set,Budget deficit matches difference between expenditures and tax collections,Deficit is funded by Treasury bond issuance,Tax receipts government outlays debt issuance,CAP-GOVERNMENT-FISCAL,Illustrates sovereign fiscal policy mechanics and deficit debt dynamics,EVD-GOV-001;EVD-GOV-002,Verify deficit equals outlays plus interest minus tax revenues,Automated unit test,fiscal budget identity accuracy,Deficit == Outlays + Interest - Taxes,HIGH,EVIDENCE_BACKED
FR-MKT-001,CAP-FINANCIAL-MARKETS,FUNCTIONAL,The financial markets module shall compute the term structure of sovereign bond yields and reprice bond market values using analytical duration and convexity formulas,Fixed Income Trader; Learner,Benchmark policy rate updated,10-year bond price reprices following convexity curve with duration sensitivity,Yield curve points remain monotonic or properly inverted without negative NaN yields,Yield curve points bond prices duration convexity,CAP-FINANCIAL-MARKETS,Demonstrates interest rate risk and bond repricing mechanics,EVD-MKT-001,Validate 10Y bond repricing against analytical bond price formula when yield shifts from 4% to 5%,Automated unit test,bond price repricing error,<= 0.01% price error versus closed-form PV,HIGH,EVIDENCE_BACKED
FR-MKT-002,CAP-FINANCIAL-MARKETS,FUNCTIONAL,The financial markets module shall maintain an active order book matching bid and ask limit orders to compute continuous market depth and clearing prices,Market Participant; Learner,Limit orders submitted,Order book matches overlapping bids and asks and executes trades at clearing price,Unmatched orders remain in queue ordered by price-time priority,Bid queue ask queue last clearing price volume,CAP-FINANCIAL-MARKETS,Provides hands-on understanding of equity and bond market clearing,EVD-MKT-002,Submit test buy and sell orders and verify clearing price matches theoretical auction midpoint,Automated unit test,order book matching latency,<= 5 ms per order insertion,HIGH,EVIDENCE_BACKED
FR-CTL-001,CAP-INTERACTIVE-CONTROLS,INTERACTION,When a user adjusts an interactive macroeconomic slider the system shall recompute all dependent sectoral states and re-render visual telemetry within 16 milliseconds without page reload,Learner; Instructor,User drags slider input element,All downstream financial indicators reprice instantly on the active canvas,Restores previous valid value if input is invalid,DOM input events reactive store,CAP-INTERACTIVE-CONTROLS,Enables addictive interactive cause-and-effect learning,EVD-CTL-001,Simulate input change event on policy rate slider and measure DOM update time,Automated DOM integration test,slider interaction update latency,<= 16 ms (60 fps),HIGH,EVIDENCE_BACKED
FR-CTL-002,CAP-INTERACTIVE-CONTROLS,FUNCTIONAL,The simulation controls shall provide pre-configured historical shock scenarios including the 2008 Global Financial Crisis the 1970s Volcker Rate Hike and the 2020 Liquidity Injection,Learner; Instructor,Scenario preset selected,Simulation parameters reconfigure to historical initial conditions instantly,Reverts to default baseline if scenario configuration fails to parse,Scenario config objects simulation state,CAP-INTERACTIVE-CONTROLS,Grounds theoretical learning in recognizable historical crisis events,EVD-CTL-002;EVD-CTL-003,Select each preset scenario and verify initial interest rate credit spread and reserve parameters match specification,Automated integration test,scenario preset load time,<= 100 ms,HIGH,EVIDENCE_BACKED
FR-VIS-001,CAP-TELEMETRY-VISUALIZATION,VISUAL,The visual telemetry module shall display animated SVG conduit streams with particle pulse velocity proportional to active monetary transaction volume between institutional sectors,Visual Learner,Simulation running,Conduits animate directional flow with pulse frequency reflecting transaction volume,Fades to resting baseline line if transaction volume reaches zero,SVG paths CSS animation keyframes,CAP-TELEMETRY-VISUALIZATION,Provides intuitive visual mental models of liquidity flows,EVD-VIS-001;EVD-VIS-002,Inspect rendered SVG elements and verify stroke-dashoffset or motion-path attributes update dynamically,Automated DOM test,rendering frame rate,>= 58 fps under standard load,HIGH,EVIDENCE_BACKED
