evidence_id,capability_id,research_question_ids,evidence_class,reasoning_layer,claim,support,source_id,exact_location,observed_or_published_date,product_version_or_tier,geography,independence_group,reliability,limitations,contradicts_evidence_ids,status
EVD-SFC-001,CAP-SFC-ENGINE,RQ-001,Academic Research,FINDING,Every financial asset in a macroeconomic system is intrinsically another sector liability and the sum of all net financial assets across all sectors equals zero,Godley and Lavoie demonstrate that in a closed financial system every asset has a counterpart liability so the sum of all net financial claims is identically zero: Sum Delta NW_j = 0,SRC-SFC-01,Chapter 2 Section 2.1 Balance Sheet Matrix,2007-01-01,2nd Edition,Global,Levy Economics Institute,HIGH,Post-Keynesian structural assumption assumes closed economy accounting,,ACTIVE
EVD-SFC-002,CAP-SFC-ENGINE,RQ-001,Peer-Reviewed Survey,OBSERVATION,Stock-flow consistent models track all monetary transactions via a transaction-flow matrix where column sums equal zero ensuring no black hole money leakage,Transaction-flow matrices enforce that every inflow to one institutional sector represents an equal outflow from another sector ensuring zero leakage,SRC-SFC-02,Section 3 Accounting Principles,2017-04-01,Survey Paper,Global,EconStor / Levy Institute,HIGH,Literature survey of theoretical models,,ACTIVE
EVD-SFC-003,CAP-SFC-ENGINE,RQ-011,System Architecture,INFERENCE,Discrete simulation ticks with explicit Euler or Runge-Kutta numerical damping maintain real-time 60fps stability without numerical explosion,Numerical solvers with value clamping and finite difference damping prevent runaway debt loops during extreme slider input spikes,SRC-FED-01,Technical Documentation Section 4 Solution Methods,2022-08-01,LINVER Release,US,Federal Reserve System,HIGH,Linearization reduces extreme non-linear tail shock precision,,ACTIVE
EVD-CB-001,CAP-CENTRAL-BANK,RQ-002,Central Bank Documentation,FINDING,Modern central banks manage short-term interest rates via interest on reserves and conduct open market asset purchases to expand liquidity,The Federal Reserve targets the federal funds rate corridor using interest on reserve balances and adjusts balance sheet size via asset purchases and rolloffs,SRC-FED-01,Chapter 5 Monetary Policy Rules,2022-08-01,FRB/US Model Documentation,US,Federal Reserve System,HIGH,Focuses primarily on US institutional mechanics,,ACTIVE
EVD-CB-002,CAP-CENTRAL-BANK,RQ-002,Central Bank Research,OBSERVATION,Empirical monetary policy reaction functions follow Taylor-type rules responding systematically to inflation gaps and output gaps,Optimal control and empirical policy rules in FRB/US set the policy interest rate as a linear combination of the equilibrium real rate inflation gap and output gap,SRC-FED-02,FEDS Note Page 3 Policy Reaction Functions,2014-04-03,FEDS Note,US,Federal Reserve System,HIGH,Taylor rule coefficients assume stable long-run neutral interest rates,,ACTIVE
EVD-BNK-001,CAP-COMMERCIAL-BANKS,RQ-003,Central Bank Research,FINDING,Commercial banks create money endogenously in the form of bank deposits whenever they originate new loans rather than acting as mere intermediaries of pre-existing savings,Bank lending creates new deposits; whenever a bank makes a loan it simultaneously creates a matching deposit in the borrower bank account thereby creating new money,SRC-BOE-01,Bank of England Quarterly Bulletin Page 14,2014-03-14,2014 Q1,UK / Global,Bank of England,HIGH,Analysis focuses on commercial bank credit money excluding non-bank financial intermediaries,,ACTIVE
EVD-BNK-002,CAP-COMMERCIAL-BANKS,RQ-003,International Regulatory Research,OBSERVATION,Commercial bank loan growth is constrained by capital adequacy requirements profitability expectations and credit risk rather than central bank reserve multipliers,Bank lending is limited by regulatory capital ratios (Basel III) risk-adjusted net interest margins and borrower creditworthiness rather than reserve scarcity,SRC-BIS-01,BIS Paper 86 Section 2 Bank Balance Sheets,2016-06-01,BIS Papers No 86,Global,Bank for International Settlements,HIGH,Cross-country heterogeneity in regulatory enforcement,,ACTIVE
EVD-CORP-001,CAP-CORPORATE-FINANCE,RQ-004,Financial Valuation Standard,REQUIREMENT,Corporate enterprise value is the discounted present value of expected future free cash flows to the firm discounted at the weighted average cost of capital,DCF valuation equates enterprise value to the sum of discounted forecast cash flows plus terminal value where higher discount rates compress corporate valuations,SRC-FRED-01,Economic Educational Tools Corporate Finance Section,2026-09-13,FRED Education,US,Federal Reserve Bank of St. Louis,HIGH,DCF models are highly sensitive to perpetual growth rate and discount rate assumptions,,ACTIVE
EVD-CORP-002,CAP-CORPORATE-FINANCE,RQ-004,Central Bank Research,FINDING,Higher policy interest rates increase corporate borrowing costs widen credit spreads reduce debt service coverage and suppress corporate capital expenditure,Monetary tightening passes through into corporate bond yields raising debt service payments and depressing business fixed investment,SRC-FED-02,FEDS Note Page 5 Investment Transmission,2014-04-03,FEDS Note,US,Federal Reserve System,HIGH,Transmission lag varies between 6 and 18 months in empirical data,,ACTIVE
EVD-HH-001,CAP-HOUSEHOLDS,RQ-005,Empirical Data Analysis,OBSERVATION,Household consumption is driven by disposable wage income wealth effects from asset valuations and borrowing capacity,Consumer spending correlates positively with labor income and net household wealth while rising debt service ratios depress discretionary expenditures,SRC-FRED-01,FRED Series PCE and Disposable Personal Income,2026-09-13,Production Data,US,Federal Reserve Bank of St. Louis,HIGH,Aggregate data masks income inequality differences in marginal propensity to consume,,ACTIVE
EVD-HH-002,CAP-HOUSEHOLDS,RQ-005,Practitioner Framework,FINDING,Credit expansion enables household spending to exceed income during cycle upswings while debt service burdens force spending below income during deleveraging,When credit is readily available spending grows faster than income during deleveraging debt service forces spending below income creating recessions,SRC-DALIO-01,How The Economic Machine Works Video Section 2 Short-Term Debt Cycle,2013-09-01,Web Template,Global,Bridgewater Associates,HIGH,Heuristic conceptual framework rather than econometric regression,,ACTIVE
EVD-GOV-001,CAP-GOVERNMENT-FISCAL,RQ-006,Academic Treatise,FINDING,Government fiscal deficits create a corresponding net financial surplus for the private sector in a stock-flow consistent closed economy,The government budget balance identically equals the net private sector balance plus the foreign balance: (G - T) = (S - I) - NX,SRC-SFC-01,Chapter 3 Government Sector Accounting,2007-01-01,2nd Edition,Global,Levy Economics Institute,HIGH,Assumes sovereign currency issuer with floating exchange rate,,ACTIVE
EVD-GOV-002,CAP-GOVERNMENT-FISCAL,RQ-006,Central Bank Documentation,OBSERVATION,Sovereign debt issuance expands the stock of risk-free liquid collateral in financial markets influencing term premia and bond yields,Heavy Treasury supply issuances interact with central bank asset holdings to determine sovereign yield curve slopes and term premiums,SRC-FED-01,Chapter 7 Fiscal Policy and Government Debt,2022-08-01,FRB/US Model Documentation,US,Federal Reserve System,HIGH,Sovereign risk premium is assumed zero for US Treasury benchmark,,ACTIVE
EVD-MKT-001,CAP-FINANCIAL-MARKETS,RQ-007,International Financial Research,FINDING,Bond prices exhibit negative convexity with respect to interest rate yields where duration measures first-order price sensitivity,The yield curve term structure reprices bonds instantaneously when benchmark rates shift where longer duration bonds experience larger price swings,SRC-BIS-01,BIS Paper 86 Section 4 Financial Market Transmission,2016-06-01,BIS Papers No 86,Global,Bank for International Settlements,HIGH,High-frequency liquidity shocks can temporarily distort theoretical convexity,,ACTIVE
EVD-MKT-002,CAP-FINANCIAL-MARKETS,RQ-007,Practitioner Framework,OBSERVATION,Asset prices in financial markets are determined by continuous double auction matching of buyers and sellers exchanging money and credit for financial assets,Financial markets clear at the equilibrium price where bid orders and ask orders cross with total transaction value equaling money plus credit paid,SRC-DALIO-01,How The Economic Machine Works Page 2 Transactions,2013-09-01,Web Template,Global,Bridgewater Associates,HIGH,Qualitative transaction framework requires order book depth queue calibration,,ACTIVE
EVD-CTL-001,CAP-INTERACTIVE-CONTROLS,RQ-008,Educational Platform Benchmark,FINDING,Interactive visual manipulations with zero-latency response (<16ms) dramatically increase user comprehension and retention of complex scientific and economic systems,Brilliant.org learning design shows that active manipulation of sliders and direct visual feedback creates deeper mental models than passive reading,SRC-BRILLIANT-01,Interactive Learning Design Principles Section,2026-08-01,Production Platform,Global,Brilliant Worldwide Inc.,HIGH,Qualitative educational assessment without formal longitudinal clinical trial,,ACTIVE
EVD-CTL-002,CAP-INTERACTIVE-CONTROLS,RQ-008,Official Data Provider,OBSERVATION,Educational economic simulations benefit from preset historical scenarios that allow learners to replicate known policy dilemmas and crises,St. Louis Fed Econ Lowdown tools use historical crisis scenarios (Great Depression 2008 Financial Crisis) to benchmark user decisions against historical reality,SRC-FRED-01,Econ Lowdown Interactive Tools Overview,2026-09-13,Educational Portal,US,Federal Reserve Bank of St. Louis,HIGH,Scenario presets must be simplified for pedagogical clarity,,ACTIVE
EVD-CTL-003,CAP-INTERACTIVE-CONTROLS,RQ-012,Practitioner Framework,RECOMMENDATION,Modeling short-term and long-term debt cycle deleveragings requires simultaneous tracking of spending debt relief austerity and money printing,A beautiful deleveraging balances spending cuts debt restructuring wealth transfers and central bank money printing to bring debt-to-income down without hyperinflation,SRC-DALIO-01,Section 4 Deleveragings and The Beautiful Deleveraging,2013-09-01,Web Template,Global,Bridgewater Associates,HIGH,Historical case studies primarily draw from 20th century developed market crises,,ACTIVE
EVD-VIS-001,CAP-TELEMETRY-VISUALIZATION,RQ-009,System Architecture,FINDING,Dynamic T-accounts showing instantaneous asset and liability changes eliminate confusion regarding where monetary transfers originate and terminate,SFC model visual representations use T-account balance sheets to visually demonstrate balance sheet expansion and contraction across sectors,SRC-SFC-02,Section 4 Visualization of Balance Sheets,2017-04-01,Survey Paper,Global,EconStor / Levy Institute,HIGH,Requires clean screen layout to prevent multi-column information crowding,,ACTIVE
EVD-VIS-002,CAP-TELEMETRY-VISUALIZATION,RQ-009,Educational Platform Benchmark,INFERENCE,Monochromatic broadsheet design with high-contrast typography and subtle animated flow lines focuses learner attention on causal connections rather than decorative noise,Minimizing gratuitous color and using structured typographic hierarchy improves cognitive processing in data-intensive financial visualizations,SRC-BRILLIANT-01,Visual Architecture Guidelines Section,2026-08-01,Production Platform,Global,Brilliant Worldwide Inc.,HIGH,Some learners prefer distinct chromatic coding for different sectors,,ACTIVE
EVD-A11Y-001,CAP-ACCESSIBILITY-COMPLIANCE,RQ-010,Official Standard,REQUIREMENT,User interface components including interactive sliders toggles and visual indicators must maintain a minimum contrast ratio of 3 to 1 against adjacent background colors,WCAG 2.2 Success Criterion 1.4.11 Non-text Contrast requires visual presentation of user interface components and graphical objects to have a contrast ratio of at least 3:1 against adjacent colors,SRC-W3C-01,Understanding SC 1.4.11 Non-text Contrast,2023-10-05,WCAG 2.2,International,W3C,HIGH,Normative web standard; applies to rendered DOM elements,,ACTIVE
EVD-A11Y-002,CAP-ACCESSIBILITY-COMPLIANCE,RQ-010,Official Standard,REQUIREMENT,Interactive simulation controls must be fully operable via keyboard navigation and announce dynamic value changes through ARIA live regions,WCAG 2.2 Success Criterion 2.1.1 Keyboard requires all functionality of the content to be operable through a keyboard interface without requiring specific timings for individual keystrokes,SRC-W3C-01,Understanding SC 2.1.1 Keyboard,2023-10-05,WCAG 2.2,International,W3C,HIGH,Requires explicit custom keyboard bindings for slider and step controls,,ACTIVE
